id,screen_area,feature,user_story,expected_behaviour,source_refs,status,test_method,test_result,error_type,error_detail,fix_summary,fix_refs,retest_result
F001,connect,Backend target selection,"As a developer, I want to point the studio at a local, hosted, or arbitrary backend, so that I can test the agent I am actually working on.","Three targets — Local (wrangler dev / node dev-server), Hosted, Custom URL. Selection persists to the URL so the link reproduces the setup for a colleague. An invalid URL is rejected inline before connecting, not after a failed socket.","apps/studio/src/lib/ws-url.ts:1; apps/studio/src/components/ConnectionBar.tsx:123",specced,,,,,,,
F002,connect,Connect and its failure states,"As a developer, I want to know immediately why a connection failed, so that I stop guessing between a dead server, a wrong path, and a crashed agent.","Distinct, named states: idle, connecting, connected, refused (nothing listening), 404/upgrade-rejected (wrong path — likely the CF /agents/<name>/<id> shape), and agent-init-failed (socket opened then closed with a reason). Each names the likely cause and the next action. Never a bare 'error'.","apps/studio/src/hooks/useSyrinxSession.ts:168-182; packages/browser-client/src/index.ts:118",specced,,,,,,,
F003,connect,Session resume,"As a developer, I want a dropped socket to resume rather than lose the session, so that a laptop sleep does not destroy the turn I was debugging.","On disconnect the UI shows reconnecting with the resume window remaining; on success the transcript continues rather than restarting, and the session id is unchanged. If the window elapses, say so explicitly and start a clearly-marked new session.","packages/browser-client/src/index.ts:60-74 (ready.resumed/resumeWindowMs)",specced,,,,,,,
F004,conversation,Live transcript with interim vs final,"As a developer, I want to see interim and final transcripts distinctly, so that I can tell a mis-transcription from a mid-thought guess.","Interim text renders visibly provisional (muted/italic) and is replaced in place by the final; finals show confidence when present. User and agent turns are visually distinct and grouped per turnId.","packages/browser-client/src/index.ts:77-79; apps/studio/src/lib/transcript.ts:1",specced,,,,,,,
F005,conversation,Microphone capture and permission denial,"As a developer, I want the studio to work or fail clearly when it asks for my mic, so that I am not left staring at a silent screen.","On connect the mic is requested and a live input level is shown. Denial renders a specific recovery instruction (browser permission UI), not a generic error. No-device and device-in-use are distinguished. Text mode remains available without a mic.","apps/studio/src/hooks/useSyrinxSession.ts:117-125,185-190",specced,,,,,,,
F006,conversation,Assistant playback and output level,"As a developer, I want to hear the agent and see that audio is flowing, so that I can separate a silent TTS from a broken speaker.","Assistant audio plays through the jitter buffer with a visible output level. Zero level while tts_chunk messages arrive is surfaced as a distinct 'audio arriving but not playing' condition rather than looking identical to silence.","apps/studio/src/hooks/useSyrinxSession.ts:193-195; packages/browser-client/src/index.ts:98-107",specced,,,,,,,
F007,conversation,Agent state badge,"As a developer, I want to see what the agent is doing right now, so that a pause reads as 'thinking' rather than 'broken'.","A always-visible badge showing idle / listening / endpointing / thinking / speaking / interrupted, derived client-side from speech_started, speech_ended, agent_chunk, tool_call_*, tts_end and agent_interrupted. Transitions are immediate; a state persisting abnormally long is visually flagged.","packages/browser-client/src/index.ts:76-92; packages/core/src/packets.ts:63 (SessionState is lifecycle, not this)",specced,,,,,,,
F008,conversation,Barge-in visibility,"As a developer, I want to see when and why the agent yielded, so that I can tell a correct interruption from the agent cutting itself off.","agent_interrupted renders inline in the transcript at the point of interruption with its reason, and audio_clear is shown as a distinct event. The elapsed time from user speech onset to the agent stopping is displayed — this is the number that decides whether barge-in feels responsive.","packages/browser-client/src/index.ts:90-92",specced,,,,,,,
F009,conversation,Thinking and tool-call cues,"As a developer, I want to see when a tool call is running and when it went slow, so that I can attribute a long silence to my own backend rather than to Syrinx.","All four cue phases render: started arms an indicator, delayed escalates it after afterMs, complete/failed clear it. Tool name, arguments, and result are inspectable inline. A failed tool is visually distinct from a slow one.","packages/browser-client/src/index.ts:82-89",specced,,,,,,,
F010,conversation-text,Send a turn as text,"As a developer, I want to type at the agent instead of speaking, so that I can iterate on prompts and tools without paying STT/TTS latency or cost.","A text input sends via SyrinxBrowserClient.sendText; the server raises user.text_received and the turn runs the full session path (reasoner, tools, observers). The typed text appears in the transcript as a user turn. Enter sends; the input is disabled while disconnected.","packages/browser-client/src/index.ts:326; packages/server-websocket/src/index.ts:775-785; packages/core/src/packets.ts:133",specced,,,,,,,
F011,conversation-text,Mode switch between voice and text,"As a developer, I want to switch between talking and typing in one session, so that I can iterate in text then confirm in voice without losing context.","A visible mode toggle. Switching to text releases the mic (and shows that it did). Switching back re-requests it. Conversation history is continuous across the switch — the same session, same context. The current mode is always legible without hunting.","packages/server-websocket/src/index.ts:776-778 (turn-change on text ingress)",specced,,,,,,,
F012,conversation-text,Text mode makes its trade explicit,"As a developer, I want to know what text mode is not testing, so that I do not conclude my agent works when I have only tested half of it.","The UI states plainly that text mode bypasses STT, endpointing, and TTS — so transcription errors, turn-taking, and barge-in are untested here. Metrics in text mode omit the audio stages rather than showing them as zero.",design-lens: states-are-features / you-are-not-the-user,specced,,,,,,,
F013,timeline,Per-turn latency waterfall,"As a developer, I want to see where a turn's time went, so that I can fix the slow stage instead of guessing.","One lane per turn with segments for speech end, transcript ready, first audio byte, first audio played, last audio played — labelled in plain language, not packet names. Values come from the metrics message already streaming. Slowest segment is emphasised. Turns are comparable at a glance.","packages/browser-client/src/index.ts:108-117 (metrics: speechEndMs/textReadyMs/firstAudioByteMs/firstAudioPlayedMs/lastAudioPlayedMs/sttMs/llmTTFTMs/ttsTTFBMs/e2eMs)",specced,,,,,,,
F014,timeline,Endpointing marker — why the turn ended,"As a developer, I want to see the moment the agent decided I had stopped talking, so that 'it cut me off' becomes a measurable fact.","The timeline marks speech end and the endpoint decision separately, so a premature endpoint is visible as a short gap. Where the server exposes it, the deciding owner (provider_stt vs smart_turn) is named. This is the single most-consulted view for turn-taking bugs.","packages/browser-client/src/index.ts:77-78; requires server work to expose the deciding owner",specced,,,,,,,
F015,timeline,Empty and single-turn states,"As a developer, I want the timeline to teach me what it will show before I have any turns, so that an empty panel does not read as broken.","Before any turn: an explanatory empty state naming what will appear and how to produce it (speak, or send a text turn). After one turn: the full lane renders without needing a second turn for scale.",design-lens: states-are-features,specced,,,,,,,
F016,events,Packet stream,"As a developer, I want to see the raw events, so that I can diagnose something the curated views do not cover.","Every SyrinxStudioMessage renders with timestamp, type, turnId, and an expandable payload. Filterable by type and by turn. Copyable as JSON for a bug report. This is the expert escape hatch, deliberately secondary to the timeline.","packages/browser-client/src/index.ts:59-118 (20 message variants)",specced,,,,,,,
F017,events,Default noise suppression,"As a developer, I want the event log to be readable by default, so that I am not drowned by audio frames.","tts_chunk and other per-frame messages are hidden by default behind a count ('142 audio frames hidden'), toggleable on. Whisker's frame-exclusion default is the precedent. Filter state persists across reconnects.","design-lens: cut-the-load; precedent: pipecat-ai/whisker frame exclusion",specced,,,,,,,
F018,events,Correlate an event back to its turn,"As a developer, I want to jump from an event to the turn it belongs to, so that I can move between the raw and curated views without losing my place.","Clicking an event highlights its turn in the timeline and transcript, and vice versa. turnId is the join key and is present on nearly every message.","packages/browser-client/src/index.ts:76-117 (turnId on message variants)",specced,,,,,,,
F019,metrics,Session aggregates,"As a developer, I want per-stage latency across the session, so that I can tell a one-off spike from a consistent regression.","Median and p95 for STT, LLM TTFT, TTS TTFB, and end-to-end, computed from the metrics messages, with turn count. Shows a floor as well as a ceiling — an implausibly fast turn indicates premature endpointing and is flagged, not celebrated.","packages/browser-client/src/index.ts:108-117",specced,,,,,,,
F020,usage,Cost and usage per stage,"As a developer, I want to see what this session cost, so that I can catch a runaway spend before it is a bill.","Audio-seconds, tokens, and characters by provider/model/stage, converted to currency via the shipped pricing catalog, accumulating live. NEEDS SERVER WORK: usage.recorded exists on the bus but is absent from SyrinxStudioMessage, so nothing reaches the client today.","packages/core/src/packets.ts (usage.recorded); packages/browser-client/src/index.ts:59-118 (absent — protocol addition required)",specced,,,,,,,
F021,fixtures,Capture a turn as a test fixture,"As a developer, I want to save a turn I just heard go wrong, so that the bug becomes a permanent regression test instead of a memory.","Every session records by default. Each turn in the transcript offers 'save as fixture', writing the input audio plus expected transcript to the project's fixtures directory. Confirmation names the written path. This is the flywheel and the designed end-moment of the session.","design-lens: design-the-peak-and-the-end; precedent: lk agent console --record (records but does not close the loop into a test)",specced,,,,,,,
F022,fixtures,Fixture carries its capture config,"As a developer, I want a fixture to record the settings it was captured under, so that replaying it later is not silently misleading.","Alongside the audio, persist sample rate, endpointing owner, and relevant policy config. Replaying a fixture under different endpointing settings warns that the comparison is not like-for-like.","packages/browser-client/src/index.ts:64-74 (ready.audio carries rates/encoding)",specced,,,,,,,
F023,session-info,Transport and session diagnostics,"As a developer, I want the negotiated session parameters visible, so that a sample-rate or codec mismatch is findable in seconds.","Session id, input/output sample rates, encoding, binary envelope, raw-binary flag, resume window, and connection target — all from the ready message. Read-only; the fix belongs in config, not here.","packages/browser-client/src/index.ts:60-74",specced,,,,,,,
F024,errors,Agent-side error surface,"As a developer, I want agent errors shown with their component and category, so that I know whether STT, the reasoner, or TTS failed.","error messages render prominently and persistently (not a toast that vanishes), showing component, category, and message, correlated to the turn. Recoverable errors (e.g. llm.error) are visually distinct from fatal ones so a survivable blip is not mistaken for a crash.","packages/browser-client/src/index.ts:118",specced,,,,,,,
