id,screen_area,feature,user_story,expected_behaviour,source_refs,status,test_method,test_result,error_type,error_detail,fix_summary,fix_refs,retest_result
F001,Dashboard,Attention verdict,"As an operator, I want to know within seconds whether my agent embarrassed me overnight, so that I can stop worrying or start fixing.","Leads with a single verdict — a count of things needing action, or an explicit all-clear — before any totals. Volume and cost sit below as context, never as the headline: an agent that hangs up fast would improve 'calls handled' while getting worse.",docs/rfc-voice-agent-builder-ui.md#L7,retested-pass,audit.mjs D05/D06,pass — verdict reads 'Two things need you' above three ranked items,none,,"Job-to-be-done reframe: the page answers 'can I stop worrying', not 'what are my numbers'.",docs/voice-builder-studio-mockup.html,pass
F002,Dashboard,Severity encoding,"As an operator scanning quickly, I want severity readable without parsing numbers, so that the worst item finds me rather than me finding it.","Each attention row carries a severity stripe as well as wording. Critical and warning are distinguishable without colour alone (stripe position, ordering, and explicit copy).",docs/rfc-voice-agent-builder-ui.md#L8,retested-pass,audit.mjs D07,pass — 2 critical stripes present and ordered first,none,,,docs/voice-builder-studio-mockup.html,pass
F003,Dashboard,Caller-impact framing,"As an operator, I want each failure stated in terms of what callers experienced, so that I can triage by damage rather than by log severity.","A broken connector reads '4 callers asked to book and the agent could not' — not 'OAuth token expired'. Impact precedes cause.",docs/rfc-voice-agent-builder-ui.md#L8,retested-pass,manual read-through,pass,none,,,docs/voice-builder-studio-mockup.html,pass
F004,Dashboard,Trend context,"As an operator, I want volume, latency and spend as trends rather than point values, so that I can tell a bad day from a bad direction.","Three stat cards, each with a 7-day sparkline, emphasised endpoint, and a stated budget where one exists. Rendered, not decorative.",docs/rfc-voice-agent-builder-ui.md#L8,retested-pass,audit.mjs D08/T02,pass — 4677 px drawn light and dark,none,,,docs/voice-builder-studio-mockup.html,pass
F005,Dashboard,Recent calls,"As an operator, I want the last few calls with their outcome, so that I can spot a pattern the exception list has not yet caught.","Newest first, each with duration, outcome, and a severity stripe matching the exception list's vocabulary.",docs/rfc-voice-agent-builder-ui.md#L7,tested,manual read-through,pass,none,,,docs/voice-builder-studio-mockup.html,
F006,Agents,Agent list health,"As an operator with several agents, I want to see which are misbehaving from the list, so that I do not have to open each one to find out.","Every row shows status, number, calls today and guardrail adherence. Health is in the list because 'is anything misbehaving' is why the page gets opened; 'last edited' alone would not answer it.",docs/rfc-voice-agent-builder-ui.md#L3,retested-pass,audit.mjs A02/A03/A04,pass — 3 rows with adherence meters and distinct status chips,none,,,docs/voice-builder-studio-mockup.html,pass
F007,Agents,Lifecycle states,"As an operator, I want draft, live and paused to be visually distinct, so that I never edit a live agent believing it is a draft.","Three distinct chips. A paused agent shows em-dashes rather than stale numbers, so absence of data does not read as zero traffic.",docs/rfc-voice-agent-builder-ui.md#L4,retested-pass,audit.mjs A04,pass,none,,,docs/voice-builder-studio-mockup.html,pass
F008,Agents,Empty state,"As a first-time user, I want my first session to produce a working agent, so that I get value before I lose patience.","Empty state is preset cards, never an empty table with a Create button. Each preset is a complete agent — prompt, tools, fixture — that takes a call immediately. Exactly four options; more would trade the first decision for paralysis.",docs/rfc-voice-agent-builder-ui.md#L8,retested-pass,audit.mjs A05/A06/A07,"pass — 4 presets, reversible preview",none,,,docs/voice-builder-studio-mockup.html,pass
F009,Agents,Preset honesty,"As a builder, I want to know the generated prompt is a starting point, so that I do not ship a bland draft believing it is finished.","Copy states you will rewrite most of it. The product does not claim the draft is production-ready — the observed reviewer rewrote nearly all of theirs.",docs/rfc-voice-agent-builder.md#R2,tested,manual read-through,pass,none,,,docs/voice-builder-studio-mockup.html,
F010,Agents,Open an agent,"As an operator, I want opening an agent to change context clearly, so that I always know whether I am editing one agent or the workspace.","Selecting an agent reveals the agent tab strip and the agent's name plus draft state in the header; workspace screens hide both.",docs/rfc-voice-agent-builder-ui.md#L2,retested-pass,audit.mjs R01/R02/D03/D04,pass,none,,,docs/voice-builder-studio-mockup.html,pass
F011,Connectors,Pre-consent disclosure,"As someone about to give an AI agent access to my company mailbox, I want to know what it can and cannot do before I sign in, so that I can consent rather than gamble.","Connect opens a disclosure step first — what it can do, that everything arrives off, and that revoking is immediate — and only then hands off to the provider. Never a bare 'Connect with Google' that jumps straight to consent.",docs/rfc-voice-agent-builder-ui.md#L5,retested-pass,audit.mjs C05/C06,pass — can/cannot/revoke all present before hand-off,ux:reward-now-friction-kills,"Original catalogue design jumped straight to the provider. Handing an autonomous agent OAuth access is the highest-anxiety moment in the product; the anxiety is the design problem, not the click count.",Added a three-step flow with disclosure before hand-off.,docs/voice-builder-studio-mockup.html,pass
F012,Connectors,Tools default off,"As an operator, I want a newly connected account to grant nothing until I choose, so that connecting is not the same as authorising.","On return from the provider every tool is off and the emitted allow-list is an explicit empty array. Saving with nothing enabled is permitted and says so plainly.",docs/rfc-voice-agent-builder-ui.md#L5,retested-pass,audit.mjs C09/C10,pass — 3/3 off; allow-list renders [],none,,,docs/voice-builder-studio-mockup.html,pass
